파일명	전체 pptx
패스트캠퍼스_교육제안서_현대엘리베이터_ChatGPT 기반 엑셀 실무 자동화 과정_250715.txt	https://drive.google.com/file/d/1Ty2xUJkXaItbRe3KhZOEMb2auxS5Ap0o/view
패스트캠퍼스_교육제안서_한화인재경영원_임원 대상 AI 역량강화 교육_250121.txt	https://drive.google.com/file/d/1nYxUU7F2TKkGDfBGkAheQbt-Hw-B8bNS/view
패스트캠퍼스_교육제안서_컬리_직무별 생성형 AI 활용 역량 강화 과정_250314.txt	https://drive.google.com/file/d/1x_dPjQc36kAvqOao3VZh2OXveDI7wzXp/view
패스트캠퍼스_교육제안서_삼성물산_생성형 AI 기초 과정_250707.txt	https://drive.google.com/file/d/195tCCS7EIPhThOFi_Ah9AsEGqATo-jDS/view
데이원컴퍼니(패스트캠퍼스)_교육제안서_KT_AI 활용역량 향상 교육_250623.txt	https://drive.google.com/file/d/1SV-w-6rHf2-vaq7F-ky3H26Er9tMNfsz/view
삼성생명 AI 해커톤 제안서_250124(최종).txt	https://drive.google.com/file/d/1bI780BCLhkPJNC9ir9ao0j5OeWkI_2-0/view
패스트캠퍼스_교육제안서_삼성전자 DS_인사인을 위한 AI 활용 과정_250708.txt	https://drive.google.com/file/d/1MGGB5EYdjVkCmMtph8SBMJBWYfvMujAF/view
패스트캠퍼스_KTis_리더 대상 생성형 AI 과정_커리큘럼.txt	https://drive.google.com/file/d/1q0a-HdPyKeaW_SdUcMjFH6JqxLMg84xU/view
★ 최종_패스트캠퍼스_제안서_하나은행_퍼블릭 샌드박스 시범 구축 및 시범사업.txt	https://drive.google.com/file/d/1tUIDKiNn7V2FCwhFT03QiRyj3q60i5OM/view
패스트캠퍼스_교육제안서_동우화인켐_Copilot을 활용한 업무 효율화 과정_250708.txt	https://drive.google.com/file/d/1tRx24kYZvvddULJ6AWxEv1rGnnoE5hMY/view
패스트캠퍼스_SK 브로드밴드_Copilot 활용 업무 자동화_교육 제안서_240827.txt	https://drive.google.com/file/d/1bnsiS0p44i2c9CjL4jpgeyGx493xVNFY/view
패스트캠퍼스_교육제안서_한화모멘텀_업무 효율성 증대를 위한 생성형 AI 활용 과정_250115.txt	https://drive.google.com/file/d/1KqmMF25UCbQIviw9NEjkkg4s0zc-CBrP/view
패스트캠퍼스_교육제안서_미래에셋생명_생성형AI 직무아카데미_250307.txt	https://drive.google.com/file/d/13nzCkXt83QKcfI35UsRvx78JwXSZI099/view
패스트캠퍼스_교육제안서_한독_MS Copilot&Teams&워크플로 교육_250311.txt	https://drive.google.com/file/d/1JMuZkD0DUogcM8QYSWF8ROeeaoEMhooH/view
패스트캠퍼스_교육제안서_웰컴저축은행_25년도 생성형 AI 과정_250625.txt	https://drive.google.com/file/d/1ItZ2dQetDt56kceQRbS4ATY1hLE10vSG/view
패스트캠퍼스_교육제안서_롯데글로벌로지스_마케팅 특화 생성형 AI_250624.txt	https://drive.google.com/file/d/18mt2gjI3yHn-rIicp174uIwGJeA-Kgtj/view
패스트캠퍼스_제안서_토글캠퍼스_데이터 분석 및 AI 실무 과정_최종 버전 .txt	https://drive.google.com/file/d/10Zzw-rNCGS0oYtPHHpvRiFy-nJkL6yzt/view
패스트캠퍼스_교육제안서_송현홀딩스_실무밀착형 생성형 AI 활용 (스마트팩토리)_250620.txt	https://drive.google.com/file/d/1Oge-KM8rYUJj8IOEx-MrE0wt-55ijCWo/view
패스트캠퍼스_교육제안서_코스맥스_생성형 AI를 활용한 마케팅 실무 과정.txt	https://drive.google.com/file/d/1w-rtz6iHyuY12HrV4RY8fl881fFAogTt/view
